uid|body|title|url|origin_path|newspaper_uid|host|n_tokens_title|n_tokens_body
79df31a7e73497167f5509ab40960921|El régimen talibán deberá demostrar un compromiso en la práctica con los derechos humanos de las mujeres, la lucha antiterrorista y la erradicación del narcotráfico para ganarse el reconocimiento y la confianza de la comunidad internacional. Así lo indicó el|Boris Johnson: “Juzgaremos al régimen talibán por sus acciones, no por sus palabras”|https://elpais.com/internacional/2021-08-18/boris-johnson-juzgaremos-al-regimen-taliban-por-sus-acciones-no-por-sus-palabras.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|7|20
f654ba4508be8d4aa35d45fd3689ca7c|Prometeo entregó a los humanos el fuego —piedra angular de nuestra civilización—, pero lo que nos endiosó fue el aire acondicionado. Después de que en 1902 un ingeniero consiguiera regular por primera vez la temperatura y la humedad en una imprenta de Brooklyn, pasó de la industria y los espacios públicos a los privados, y transformó la manera de viajar, socializar y consumir. También abrazaron el invento las promotoras urbanísticas: erigieron rascacielos acristalados y colonizaron regiones cálidas sin tener que priorizar la eficiencia térmica, para regocijo de las eléctricas. Eso era el progreso, así se exportó. Pero esta historia feliz se vio enturbiada en los setenta, cuando se descubrió la|Nostalgia de permafrost|https://elpais.com/opinion/2021-08-18/nostalgia-de-permafrost.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|2|53
12c954eff12b5b42c071ca3c5e6cd33f|Los talibanes han intensificado este miércoles los contactos políticos con otros dirigentes afganos para formar un Gobierno que|Los talibanes responden con violencia a las primeras protestas contra su control|https://elpais.com/internacional/2021-08-18/los-talibanes-responden-con-violencia-a-las-primeras-protestas-contra-su-control.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|6|9
614b116987e639fd7bf5466e52904e08|La música popular está llena de historias increíbles. Desde hace un mes, una de ellas va siendo descubierta poco a poco por más gente a través del|La historia de Sly Stone, el genio calidoscópico que destruyó su gloria|https://elpais.com/cultura/2021/08/16/ruta_norteamericana/1629141664_247325.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|7|12
9fd89d39eae7dc2c756facfff56996b9|(El Cairo, 55 años) saluda al otro lado de la pantalla, delante de una pared forrada de libros, desde su casa en Berna. “Es mi hogar”, confía esta académica suizoyemení, con abuelos egipcios, que se instaló en Suiza en 1995, tras su matrimonio, y ha hecho de sus múltiples identidades el eje de su trabajo y de su activismo a favor de los derechos humanos. Profesora adjunta de Ciencias Políticas en la Universidad de Zúrich y consultora en temas de islam y género para gobiernos y organizaciones internacionales, Manea es una enérgica defensora de la separación del Estado y la religión en los países islámicos, así como de las libertades de expresión y de creencias, y de los derechos de la mujer y las minorías.|Elham Manea: “El islamismo es una ideología de extrema derecha, cambia las sociedades”|https://elpais.com/ideas/2021-05-11/elham-manea-las-leyes-islamicas-violan-los-derechos-de-las-mujeres-con-impunidad.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|8|57
05c44775ca8c002f0777874a6f477d0e|Bajo la sombra, antes de la hora y con una bolsa de deporte llena de referentes —de Jane Austen a Carlos Ruiz Zafón—, apuntes y documentos, María Reig (Barcelona, 28 años) espera en la puerta de la confitería El Riojano. Los kilos que carga al hombro son parte del material con el que trabaja. El local, uno de los pocos escenarios del centro de Madrid que aparecen en su libro y han sobrevivido al paso del tiempo. Por lo menos, a los 100 años atrás en los que se ambienta|María Reig: de montar un ‘crowdfunding’ para su libro a ser una superventas|https://elpais.com/eps/2021-08-18/maria-reig-de-montar-un-crowdfunding-para-su-libro-a-ser-una-superventas.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|7|41
e10d6d329f8ebeeb61cc7a2009fcb870|Haiti is the patient that never quite has the chance to recover. The|Haiti: a country in permanent crisis|https://english.elpais.com/usa/2021-08-16/haiti-a-country-in-permanent-crisis.html|output/elpais_2021_08_18_articles.csv|english|english.elpais.com|5|12
8dbe4da7e55782ac210b220cdd5ea569|Todo el mundo dijo:|El perdón según Ali Smith, ¿o era Hannah Arendt?|https://elpais.com/babelia/2021-08-16/el-contexto-importa.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|6|2
afd70711444f8da85dc818eed326a001|No existen los días plácidos para|El inicio turbulento de Pedro Castillo en Perú|https://elpais.com/internacional/2021-08-18/el-inicio-turbulento-de-pedro-castillo-en-peru.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|5|3
768d0429289fd0e630d80dade58df4b3|Las nuevas disposiciones del|Las tensiones entre México y Estados Unidos crecen por los conflictos sindicales y las diferencias sobre el T-MEC|https://elpais.com/mexico/2021-08-18/las-tensiones-entre-mexico-y-estados-unidos-crecen-por-los-conflictos-sindicales-y-las-diferencias-sobre-el-t-mec.html|output/elpais_2021_08_18_articles.csv|elpais|elpais.com|7|2
